Column1,idnum,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code,log_radon
562,5643.0,MN,MN,27.0,56164,5.0,1.0,1.0,3.0,Y, ,4,3.0,41,1900.0,1930.0,11988.0,12188.0,4.3,7.0,990.4115539999999,0.0,0.0,117.0,PIPESTONE,27117.0,1.61382,57,1.4816045409242153
657,5738.0,MN,MN,27.0,55366,5.0,1.0,0.0,4.0,Y, ,1,4.0,21,945.0,945.0,120287.0,121087.0,4.0,8.0,1088.985661,1.0,0.0,143.0,SIBLEY,27143.0,1.2677100000000001,68,1.410986973710262
658,5739.0,MN,MN,27.0,55396,5.0,1.0,0.0,7.0,Y, ,5,4.0,21,800.0,800.0,121487.0,121687.0,5.0,7.7,1105.956867,0.0,0.0,143.0,SIBLEY,27143.0,1.2677100000000001,68,1.62924053973028
659,5740.0,MN,MN,27.0,56044,5.0,1.0,0.0,4.0,Y, ,4,4.0,33,1410.0,1410.0,122887.0,123087.0,1.5,20.0,1177.377355,0.0,0.0,143.0,SIBLEY,27143.0,1.2677100000000001,68,0.47000362924573563
660,5741.0,MN,MN,27.0,56044,5.0,1.0,0.0,4.0,Y, ,1,4.0,47,1735.0,1735.0,20288.0,20288.0,4.8,6.6,1088.985661,0.0,0.0,143.0,SIBLEY,27143.0,1.2677100000000001,68,1.5892352051165808
777,5858.0,MN,MN,27.0,55320,2.0,1.0,0.0,1.0,N, ,1,4.0,44,2215.0,2240.0,12688.0,12888.0,7.5,4.7,1088.985661,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,2.028148247292285
778,5859.0,MN,MN,27.0,56301,2.0,1.0,0.0,7.0,Y, ,1,3.0,22,1900.0,2150.0,120287.0,121087.0,6.4,5.1,1024.442902,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.8718021769015913
779,5860.0,MN,MN,27.0,56301,2.0,1.0,0.0,4.0,Y, ,2,3.0,22,2230.0,2230.0,120287.0,121187.0,8.3,4.2,921.864905,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,2.128231705849268
780,5861.0,MN,MN,27.0,56301,2.0,1.0,0.0,3.0,N, ,2,3.0,24,1959.0,1959.0,121387.0,121587.0,2.1,9.2,921.864905,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.7884573603642703
781,5862.0,MN,MN,27.0,56301,2.0,1.0,0.0,4.0,Y, ,1,3.0,32,930.0,1530.0,122087.0,122287.0,3.3,11.2,1024.442902,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.2237754316221157
782,5863.0,MN,MN,27.0,56301,2.0,1.0,0.0,2.0,Y, ,2,3.0,35,1155.0,1150.0,123187.0,10188.0,1.3,16.0,921.864905,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.336472236621213
783,5864.0,MN,MN,27.0,56301,2.0,1.0,0.0,4.0,Y, ,4,3.0,26,930.0,1200.0,122787.0,122987.0,5.0,7.4,990.4115539999999,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.62924053973028
784,5865.0,MN,MN,27.0,56301,2.0,1.0,1.0,3.0,Y, ,4,3.0,37,1130.0,1030.0,122787.0,122987.0,1.0,18.3,990.4115539999999,1.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.09531017980432493
785,5866.0,MN,MN,27.0,56303,2.0,1.0,0.0,4.0,Y, ,2,3.0,27,740.0,827.0,122187.0,122387.0,7.0,5.9,921.864905,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.9600947840472698
786,5867.0,MN,MN,27.0,56303,2.0,1.0,0.0,2.0,Y, ,1,3.0,34,845.0,845.0,10188.0,10188.0,5.7,5.9,1024.442902,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.7578579175523736
787,5868.0,MN,MN,27.0,56303,2.0,1.0,0.0,7.0, , ,1,3.0,49,800.0,800.0,20288.0,20288.0,10.1,3.6,1024.442902,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,2.322387720290225
788,5869.0,MN,MN,27.0,56303,2.0,1.0,0.0,2.0,Y, ,3,3.0,49,1530.0,1530.0,20288.0,20288.0,6.6,5.2,1071.318034,1.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.9021075263969203
789,5870.0,MN,MN,27.0,56303,2.0,1.0,1.0,5.0,Y, ,3,3.0,3,1600.0,1600.0,31288.0,31488.0,2.6,17.0,1071.318034,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.9932517730102834
790,5871.0,MN,MN,27.0,56307,2.0,1.0,0.0,4.0,Y, ,1,3.0,30,752.0,752.0,122687.0,122887.0,3.3,6.9,1024.442902,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.2237754316221157
791,5872.0,MN,MN,27.0,56307,2.0,1.0,1.0,3.0,Y, ,2,3.0,33,2200.0,2245.0,122787.0,122987.0,1.5,21.6,921.864905,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.47000362924573563
792,5873.0,MN,MN,27.0,56310,2.0,1.0,0.0,4.0,Y, ,2,3.0,28,903.0,927.0,121987.0,122187.0,5.0,5.6,921.864905,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.62924053973028
793,5874.0,MN,MN,27.0,56310,2.0,1.0,0.0,4.0,Y, ,5,3.0,48,1800.0,1800.0,20288.0,20288.0,7.4,4.3,893.2374300000001,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,2.0149030205422647
794,5875.0,MN,MN,27.0,56320,2.0,1.0,0.0,2.0,Y, ,5,3.0,32,2100.0,2100.0,122187.0,122387.0,14.5,3.5,893.2374300000001,1.0,0.0,145.0,STEARNS,27145.0,1.12344,70,2.681021528714291
795,5876.0,MN,MN,27.0,56320,2.0,1.0,0.0,3.0,Y, ,4,3.0,25,2230.0,2230.0,122887.0,123087.0,1.8,13.8,990.4115539999999,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.6418538861723948
796,5877.0,MN,MN,27.0,56320,2.0,1.0,0.0,2.0,Y, ,1,3.0,40,1940.0,2015.0,11688.0,11888.0,7.4,4.9,1024.442902,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,2.0149030205422647
797,5878.0,MN,MN,27.0,56340,2.0,1.0,0.0,4.0,Y, ,2,3.0,48,2330.0,2330.0,40488.0,40488.0,2.6,8.5,921.864905,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.9932517730102834
798,5879.0,MN,MN,27.0,56368,2.0,1.0,0.0,4.0,Y, ,5,4.0,27,845.0,845.0,11888.0,12088.0,3.7,9.9,1105.956867,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,1.3350010667323402
799,5880.0,MN,MN,27.0,56374,2.0,1.0,0.0,2.0,N, ,5,3.0,23,730.0,700.0,121287.0,121487.0,1.9,9.5,893.2374300000001,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.6931471805599453
800,5881.0,MN,MN,27.0,56378,2.0,1.0,1.0,3.0,Y, ,5,3.0,40,1930.0,1930.0,11688.0,11888.0,2.2,10.2,893.2374300000001,0.0,0.0,145.0,STEARNS,27145.0,1.12344,70,0.8329091229351041
